id,request_id,video_id,percent_watched,completed_at,last_event_at,metadata,created_at,updated_at
940ec3ce-2d50-49ab-8fdc-594fb4c01cac,1732194f-a827-4e2c-9fe7-f0742f070d69,jhx3bbqb9a,100.00,2026-07-06 17:10:08.478+00,2026-07-06 17:10:08.478+00,{},2026-07-06 17:02:20.564549+00,2026-07-06 17:10:08.499881+00
bb6b7dbf-ac71-48fb-80fb-3b571325a5a5,17ac5c56-0336-4fc8-aca9-ce6d767323b7,jhx3bbqb9a,100.00,2026-07-05 13:48:42.205+00,2026-07-05 14:05:51.47+00,{},2026-07-05 13:41:48.783363+00,2026-07-05 14:05:51.47681+00
ae39b7ba-0b21-44df-8cf5-c971c775b24c,74918f5a-1cb1-4cb5-9e1c-0e116e275d4c,jhx3bbqb9a,97.00,2026-07-07 12:23:30.752+00,2026-07-07 12:23:42.506+00,{},2026-07-07 11:23:47.383222+00,2026-07-07 12:23:42.51292+00
8e911779-c39b-42f3-bff9-c90adbfbe992,9d43d1e1-dc42-4bf7-a228-f59707528e45,jhx3bbqb9a,100.00,2026-07-06 15:32:34.149+00,2026-07-06 15:32:59.313+00,{},2026-07-06 15:25:41.046457+00,2026-07-06 15:32:59.324068+00
9c5f025a-c744-4c47-8b2f-1b2baf451904,bf8cf2d5-2e27-4ec9-8e62-7e42b954b625,jhx3bbqb9a,100.00,2026-06-29 15:59:09.545+00,2026-06-29 15:59:33.548+00,{},2026-06-29 15:42:41.716372+00,2026-06-29 15:59:33.556604+00
20a66586-593f-4d61-9d81-a32cf95c3731,3e2e77d8-a29d-4332-aaff-ca5aa037c242,jhx3bbqb9a,100.00,2026-07-14 05:43:27.083+00,2026-07-14 05:45:17.145+00,{},2026-07-07 12:19:50.391361+00,2026-07-14 05:45:17.147345+00
98475689-d248-4a73-ad38-16c1ff736508,d99c7daf-b779-4c63-adf8-084767e89826,jhx3bbqb9a,100.00,2026-07-13 02:26:35.128+00,2026-07-13 02:29:21.639+00,{},2026-07-12 08:05:28.827385+00,2026-07-13 02:29:21.645213+00
51c53f50-5710-4d85-b71c-f3e84ebac695,adec184a-dcb3-4f7a-a179-0899e66e2f74,jhx3bbqb9a,97.00,2026-07-06 15:29:24.577+00,2026-07-06 15:29:36.95+00,{},2026-07-06 15:11:39.491858+00,2026-07-06 15:29:36.959792+00
f7e7e6e1-c6f9-4dd3-9a65-1a2185d4a735,b776a793-a2c1-46dd-9371-85f68ded4345,jhx3bbqb9a,100.00,2026-07-08 05:28:09.003+00,2026-07-08 05:46:09.429+00,{},2026-07-08 05:19:27.064055+00,2026-07-08 05:46:09.431866+00
1e40ffe2-cb54-450e-9dbc-11adee0235b8,0066168e-1fd0-4381-b8a5-51d88e7da196,3yot0ne1jd,100.00,2026-06-29 13:20:27.832+00,2026-06-29 13:20:37.827+00,{},2026-06-29 13:17:37.073472+00,2026-06-29 13:20:37.83452+00
49048120-5abc-4043-8b51-2993151ba20c,2f165df5-1e50-49f1-bb54-167af6697417,jhx3bbqb9a,100.00,2026-07-06 23:22:32.023+00,2026-07-06 23:30:51.213+00,{},2026-07-06 23:14:55.951406+00,2026-07-06 23:30:51.219189+00
1515e15b-35f1-453b-ab63-f43e12055451,87fef2d4-aad5-4067-b258-e739b3547068,jhx3bbqb9a,10.00,,2026-06-29 15:45:23.63+00,{},2026-06-29 15:45:01.46363+00,2026-06-29 15:45:23.64006+00
d5c17f1e-9998-4f53-ba7c-2a402dd25e8b,1efabac2-3b12-4a9e-8809-8d453fca1b22,jhx3bbqb9a,96.00,2026-07-02 11:14:43.079+00,2026-07-02 11:14:51.423+00,{},2026-07-02 11:07:50.06074+00,2026-07-02 11:14:51.427526+00
69728ca1-f7e1-45c2-893b-6df4591d24e0,eaf89fd6-d8d1-4874-8330-b91eaefb8419,jhx3bbqb9a,100.00,2026-07-23 12:42:51.187+00,2026-07-23 12:43:16.69+00,{},2026-07-23 12:35:58.160204+00,2026-07-23 12:43:16.707044+00
ffaf462e-86e7-4f98-9671-dba892189a5a,5f3a3c3e-f630-479e-b315-7eecce7208db,jhx3bbqb9a,100.00,2026-07-06 15:24:54.456+00,2026-07-06 15:25:19.883+00,{},2026-07-06 15:18:02.098011+00,2026-07-06 15:25:19.891951+00
417528f2-ddab-4e13-88e7-5aad64d76fbb,841485ef-a769-4790-ac6f-61d1515e1236,jhx3bbqb9a,100.00,2026-07-04 22:32:27.252+00,2026-07-04 22:32:52.969+00,{},2026-07-03 07:58:40.014923+00,2026-07-04 22:32:52.97642+00
67896430-630d-4e72-b310-f065b17be7c7,515da1ee-4ae2-4749-8ef8-d5b40b75f56d,jhx3bbqb9a,99.00,2026-07-22 07:34:07.919+00,2026-07-22 07:34:26.759+00,{},2026-07-22 06:52:13.75025+00,2026-07-22 07:34:26.773953+00
22b3004f-3621-47cc-aa7b-d0e57fcad72e,1f5e83ef-ac33-4edb-a89f-116586b3a0dc,jhx3bbqb9a,100.00,2026-07-08 07:27:34.56+00,2026-07-08 08:02:45.985+00,{},2026-07-05 16:47:23.280837+00,2026-07-08 08:02:45.989964+00
1ba6cfaf-c980-47b8-afbf-8c2a6d7fe47c,ddb672f8-dae9-4319-bd23-f6cf4e18e655,3yot0ne1jd,100.00,2026-06-29 12:54:03.212+00,2026-06-29 12:54:13.592+00,{},2026-06-28 12:54:13.077152+00,2026-06-29 12:54:13.596862+00
ecb462af-d844-4981-9cfd-62e32415f16e,482444aa-a2cd-4cf0-bf3b-e21f96c78977,jhx3bbqb9a,65.00,,2026-07-02 11:54:45.827+00,{},2026-07-02 11:49:47.188052+00,2026-07-02 11:54:45.836322+00
4aded427-f81b-4bbb-ae6c-ed4a4c3e9632,7112bfe1-0bc6-4764-8137-272179290e1b,jhx3bbqb9a,100.00,2026-07-09 03:57:04.797+00,2026-07-09 04:16:31.054+00,{},2026-07-09 03:09:03.934789+00,2026-07-09 04:16:31.062306+00
43eb3f5b-d3d3-45c1-8dea-751d358d27bb,6f5be1ac-157b-491a-99e8-2963f33fed56,jhx3bbqb9a,100.00,2026-07-05 17:08:46.16+00,2026-07-05 17:09:09.01+00,{},2026-07-05 16:50:42.457283+00,2026-07-05 17:09:09.013545+00
38ed3e9f-da20-4117-b237-1a61584911b6,36142976-ef27-4689-9ef1-f3ba9b4ad6f4,jhx3bbqb9a,97.00,2026-07-22 14:18:25.342+00,2026-07-22 14:19:33.823+00,{},2026-07-22 13:30:38.211504+00,2026-07-22 14:19:33.829626+00
7120847a-e220-43a8-ac26-7055ece02590,1a7fb28b-c946-4aaf-a3f2-879cb9e5107b,jhx3bbqb9a,98.00,2026-06-30 11:58:05.121+00,2026-06-30 11:58:22.962+00,{},2026-06-30 11:51:12.601377+00,2026-06-30 11:58:22.982987+00
326d518a-49e6-4444-b266-c90731e2713e,34e2fcad-238b-4989-8ef2-b33f61e713ea,jhx3bbqb9a,100.00,2026-07-22 08:50:22.113+00,2026-07-22 08:58:23.295+00,{},2026-07-16 10:25:49.962017+00,2026-07-22 08:58:23.309074+00
4b43e324-8c8f-4304-bb46-537b4262557e,b43ba284-87d3-4cf6-b987-e4bff1a701d9,jhx3bbqb9a,100.00,2026-07-06 07:46:01.135+00,2026-07-06 08:23:47.619+00,{},2026-07-06 07:34:28.411592+00,2026-07-06 08:23:47.630448+00
2589930d-5591-49c4-bf0a-b46cd1ffc4d7,6e2db717-ab37-4cbb-815a-d587464ac8cc,jhx3bbqb9a,100.00,2026-07-06 15:43:32.311+00,2026-07-06 16:09:51.925+00,{},2026-07-06 15:31:52.694431+00,2026-07-06 16:09:52.022854+00
0eea6fdc-281f-4893-9313-0e9daeedbaa3,954fbcc9-a262-4ccd-85ae-7235b4ed8480,jhx3bbqb9a,100.00,2026-07-13 09:44:46.026+00,2026-07-13 10:00:18.812+00,{},2026-07-13 06:19:36.332952+00,2026-07-13 10:00:19.092557+00
