id,name,source,pipeline_id,stage_id,template_id,mode,link_expiry_days,tag_id_after_signed,stage_id_after_signed,notify_admin,notify_owner,is_active,created_by,created_at,updated_at
4e152966-5f25-410a-add5-e209358e04f9,Sign to Access,paid_pipeline,7629660f-13d9-4b95-8eab-38a0071bd4fb,30cf47c8-b6f7-4662-9faf-0014b04d6e01,3a9b6c3b-a49b-4408-903e-7f40a062370d,auto_send,15,0f4f7817-9241-4dc4-a6d7-f838b8955f8c,1302273e-92a5-4ba6-8ac1-59d3c54a0ee7,t,t,t,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 12:19:17.377326+00,2026-05-30 12:19:17.377326+00
b0013b47-c71a-4dbd-8360-1386f4084b20,Auto send code of conduct.,crm,7629660f-13d9-4b95-8eab-38a0071bd4fb,30cf47c8-b6f7-4662-9faf-0014b04d6e01,3a9b6c3b-a49b-4408-903e-7f40a062370d,auto_send,7,,1302273e-92a5-4ba6-8ac1-59d3c54a0ee7,t,t,t,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 18:11:59.253582+00,2026-05-30 18:11:59.253582+00
