code,created_at,created_by,default_process_template_id,default_service_duration_days,description,id,included_services,is_active,name,updated_at
,2026-06-05 03:46:58.689056+00,,c18565a7-33c6-4e76-b799-92564ac1f275,180,The ads support is for six months.,ea0eeed4-3152-4bf5-adc0-703729aba775,,true,6 Months Ads Support,2026-06-05 03:46:58.689056+00
,2026-06-05 04:46:44.808796+00,,c18565a7-33c6-4e76-b799-92564ac1f275,90,3 Months of Ad Support,62928833-c0c1-47f8-ab73-fb40c5bbb120,,true,3 Months Ads Support,2026-06-05 04:46:44.808796+00
