bucket_id,name,owner,created_at,metadata
signed-code-of-conduct,10d2f711-c92b-4a38-ab33-5b9bb47381ae/signed-receipt.html,,2026-07-09 06:10:31.203866+00,"{""eTag"": ""\""76b602aaece5af858b34f015f8bdad04\"""", ""size"": 29416, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-09T06:10:32.000Z"", ""contentLength"": 29416, ""httpStatusCode"": 200}"
signed-code-of-conduct,11c046c9-ca38-4c1a-a740-c72eaf6e35bc/signed-code-of-conduct.pdf,,2026-05-28 15:05:27.842275+00,"{""eTag"": ""\""9773fda23071afee4e16196204967d25\"""", ""size"": 441708, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-28T15:05:28.000Z"", ""contentLength"": 441708, ""httpStatusCode"": 200}"
signed-code-of-conduct,11c046c9-ca38-4c1a-a740-c72eaf6e35bc/signed-receipt.html,,2026-05-28 15:05:28.016801+00,"{""eTag"": ""\""81065f084c24b508e20e13c8ab3edce4\"""", ""size"": 20086, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-28T15:05:28.000Z"", ""contentLength"": 20086, ""httpStatusCode"": 200}"
signed-code-of-conduct,1391cd79-1ade-4ff9-8b8a-9f2118c8c220/signed-code-of-conduct.pdf,,2026-06-07 09:46:12.512806+00,"{""eTag"": ""\""a3c92e0d71bfe188499dd334b7b6112e\"""", ""size"": 445619, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-07T09:46:13.000Z"", ""contentLength"": 445619, ""httpStatusCode"": 200}"
signed-code-of-conduct,1391cd79-1ade-4ff9-8b8a-9f2118c8c220/signed-receipt.html,,2026-06-07 09:46:12.688625+00,"{""eTag"": ""\""4035574fe05d947e3c0c2b37c915fc3f\"""", ""size"": 25901, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-07T09:46:13.000Z"", ""contentLength"": 25901, ""httpStatusCode"": 200}"
signed-code-of-conduct,17ac5c56-0336-4fc8-aca9-ce6d767323b7/signed-code-of-conduct.pdf,,2026-07-05 13:54:54.230243+00,"{""eTag"": ""\""ada6407b52ccc0fa71f526d49669eafc\"""", ""size"": 444059, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-05T13:54:55.000Z"", ""contentLength"": 444059, ""httpStatusCode"": 200}"
signed-code-of-conduct,17ac5c56-0336-4fc8-aca9-ce6d767323b7/signed-receipt.html,,2026-07-05 13:54:54.44086+00,"{""eTag"": ""\""3877eabcd223b82270ee0c2d568f9d10\"""", ""size"": 25385, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-05T13:54:55.000Z"", ""contentLength"": 25385, ""httpStatusCode"": 200}"
signed-code-of-conduct,1a7fb28b-c946-4aaf-a3f2-879cb9e5107b/signed-code-of-conduct.pdf,,2026-06-30 11:59:00.077896+00,"{""eTag"": ""\""ef29c58f3801d2f77291032dec1bdbf4\"""", ""size"": 440199, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-30T11:59:01.000Z"", ""contentLength"": 440199, ""httpStatusCode"": 200}"
signed-code-of-conduct,1a7fb28b-c946-4aaf-a3f2-879cb9e5107b/signed-receipt.html,,2026-06-30 11:59:00.289287+00,"{""eTag"": ""\""b881be4dd75ce7604d4c99acff24e73a\"""", ""size"": 20084, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-30T11:59:01.000Z"", ""contentLength"": 20084, ""httpStatusCode"": 200}"
signed-code-of-conduct,1d096e91-5a76-4aa3-b775-dca6da639f93/signed-code-of-conduct.pdf,,2026-06-18 07:34:09.310247+00,"{""eTag"": ""\""58302c569a168b52422599c291fac817\"""", ""size"": 452723, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-18T07:34:10.000Z"", ""contentLength"": 452723, ""httpStatusCode"": 200}"
signed-code-of-conduct,1d096e91-5a76-4aa3-b775-dca6da639f93/signed-receipt.html,,2026-06-18 07:34:09.510577+00,"{""eTag"": ""\""e48c021f0299b280e848befed57dedd5\"""", ""size"": 43147, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-18T07:34:10.000Z"", ""contentLength"": 43147, ""httpStatusCode"": 200}"
signed-code-of-conduct,1efabac2-3b12-4a9e-8809-8d453fca1b22/signed-code-of-conduct.pdf,,2026-07-02 11:17:33.763623+00,"{""eTag"": ""\""8a4f1cefc1203d6dcb7b668798707204\"""", ""size"": 435646, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-02T11:17:34.000Z"", ""contentLength"": 435646, ""httpStatusCode"": 200}"
signed-code-of-conduct,1efabac2-3b12-4a9e-8809-8d453fca1b22/signed-receipt.html,,2026-07-02 11:17:33.922631+00,"{""eTag"": ""\""e8f1d484d9abd436fbef1397228b566d\"""", ""size"": 13756, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-02T11:17:34.000Z"", ""contentLength"": 13756, ""httpStatusCode"": 200}"
signed-code-of-conduct,1f3838e0-5d6c-441c-ae5d-1349e4b82f94/signed-code-of-conduct.pdf,,2026-06-06 04:38:26.792148+00,"{""eTag"": ""\""ca6f563cc52ea4dc6ce91483bc72d48d\"""", ""size"": 441439, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-06T04:38:27.000Z"", ""contentLength"": 441439, ""httpStatusCode"": 200}"
signed-code-of-conduct,1f3838e0-5d6c-441c-ae5d-1349e4b82f94/signed-receipt.html,,2026-06-06 04:38:26.939949+00,"{""eTag"": ""\""91b3da2535f063f1d5f09f37f1c76632\"""", ""size"": 21734, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-06T04:38:27.000Z"", ""contentLength"": 21734, ""httpStatusCode"": 200}"
signed-code-of-conduct,1f5e83ef-ac33-4edb-a89f-116586b3a0dc/signed-code-of-conduct.pdf,,2026-07-08 07:31:53.534773+00,"{""eTag"": ""\""a10de644966e2b736c825efd6e592ddd\"""", ""size"": 438477, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-08T07:31:54.000Z"", ""contentLength"": 438477, ""httpStatusCode"": 200}"
signed-code-of-conduct,1f5e83ef-ac33-4edb-a89f-116586b3a0dc/signed-receipt.html,,2026-07-08 07:31:53.725414+00,"{""eTag"": ""\""1fb610aba6db87cbac5e73a829f9f2e1\"""", ""size"": 16036, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-08T07:31:54.000Z"", ""contentLength"": 16036, ""httpStatusCode"": 200}"
signed-code-of-conduct,20650887-c78e-41b6-871b-618f2033d4d4/signed-code-of-conduct.pdf,,2026-06-06 12:09:00.729833+00,"{""eTag"": ""\""50ca21691e0ba3c6490ab5ba0b0e00ce\"""", ""size"": 445214, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-06T12:09:01.000Z"", ""contentLength"": 445214, ""httpStatusCode"": 200}"
signed-code-of-conduct,20650887-c78e-41b6-871b-618f2033d4d4/signed-receipt.html,,2026-06-06 12:09:00.877712+00,"{""eTag"": ""\""5d5afb7d205a1b06fd48df5cadd3162e\"""", ""size"": 35075, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-06T12:09:01.000Z"", ""contentLength"": 35075, ""httpStatusCode"": 200}"
signed-code-of-conduct,20cfae6b-e59e-4d7a-802e-5f5bf418ec73/signed-code-of-conduct.pdf,,2026-06-05 08:58:49.511212+00,"{""eTag"": ""\""ca63c2ccd4292727615887503707efc8\"""", ""size"": 438024, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-05T08:58:50.000Z"", ""contentLength"": 438024, ""httpStatusCode"": 200}"
signed-code-of-conduct,20cfae6b-e59e-4d7a-802e-5f5bf418ec73/signed-receipt.html,,2026-06-05 08:58:49.698365+00,"{""eTag"": ""\""f5c02079f7cf3088ec095a1e7a2079db\"""", ""size"": 14603, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-05T08:58:50.000Z"", ""contentLength"": 14603, ""httpStatusCode"": 200}"
signed-code-of-conduct,23163f08-c96c-420c-9584-f1593080dfde/signed-code-of-conduct.pdf,,2026-07-25 07:06:11.718444+00,"{""eTag"": ""\""7e35548b65efb74048563feb80d653bf\"""", ""size"": 449188, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-25T07:06:12.000Z"", ""contentLength"": 449188, ""httpStatusCode"": 200}"
signed-code-of-conduct,23163f08-c96c-420c-9584-f1593080dfde/signed-receipt.html,,2026-07-25 07:06:11.920127+00,"{""eTag"": ""\""4a6cfb90a9382c8bb4c24d337d26e6ee\"""", ""size"": 40729, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-25T07:06:12.000Z"", ""contentLength"": 40729, ""httpStatusCode"": 200}"
signed-code-of-conduct,25093b8b-9935-4653-82a9-dffbcff4103b/signed-code-of-conduct.pdf,,2026-06-15 15:30:15.459359+00,"{""eTag"": ""\""bf49bb9cb05354348708800a45e6fc98\"""", ""size"": 457538, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-15T15:30:16.000Z"", ""contentLength"": 457538, ""httpStatusCode"": 200}"
signed-code-of-conduct,25093b8b-9935-4653-82a9-dffbcff4103b/signed-receipt.html,,2026-06-15 15:30:15.665548+00,"{""eTag"": ""\""35d4c33942338b32f68264f24cb17439\"""", ""size"": 54274, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-15T15:30:16.000Z"", ""contentLength"": 54274, ""httpStatusCode"": 200}"
signed-code-of-conduct,278fc03a-ae86-4d3a-92f5-283247fd6dbd/signed-code-of-conduct.pdf,,2026-07-18 15:37:43.961491+00,"{""eTag"": ""\""8d5deaeb2de28fe34969d29d58aa688b\"""", ""size"": 440177, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-18T15:37:44.000Z"", ""contentLength"": 440177, ""httpStatusCode"": 200}"
signed-code-of-conduct,278fc03a-ae86-4d3a-92f5-283247fd6dbd/signed-receipt.html,,2026-07-18 15:37:44.408655+00,"{""eTag"": ""\""7628a6f10f176fc43eb9fc9e9dea2b36\"""", ""size"": 20135, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-18T15:37:45.000Z"", ""contentLength"": 20135, ""httpStatusCode"": 200}"
signed-code-of-conduct,27988b90-3b48-4250-baf5-ba49de09652c/signed-code-of-conduct.pdf,,2026-07-24 12:01:50.297997+00,"{""eTag"": ""\""89717a58bc0037618cd067a94ec260a8\"""", ""size"": 440802, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-24T12:01:51.000Z"", ""contentLength"": 440802, ""httpStatusCode"": 200}"
signed-code-of-conduct,27988b90-3b48-4250-baf5-ba49de09652c/signed-receipt.html,,2026-07-24 12:01:50.459312+00,"{""eTag"": ""\""aff7259d5a8753c144c02d38abf8537f\"""", ""size"": 20589, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-24T12:01:51.000Z"", ""contentLength"": 20589, ""httpStatusCode"": 200}"
signed-code-of-conduct,28de1563-5c47-4e77-b2b5-bb864f165633/signed-code-of-conduct.pdf,,2026-06-26 11:56:57.857432+00,"{""eTag"": ""\""5cf915f216bd30a3df79e5c12cc8a33f\"""", ""size"": 446862, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-26T11:56:58.000Z"", ""contentLength"": 446862, ""httpStatusCode"": 200}"
signed-code-of-conduct,28de1563-5c47-4e77-b2b5-bb864f165633/signed-receipt.html,,2026-06-26 11:56:58.029279+00,"{""eTag"": ""\""c91733dc57b813d986e7a09483a99623\"""", ""size"": 34896, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-26T11:56:58.000Z"", ""contentLength"": 34896, ""httpStatusCode"": 200}"
signed-code-of-conduct,2f165df5-1e50-49f1-bb54-167af6697417/signed-code-of-conduct.pdf,,2026-07-06 23:24:53.377839+00,"{""eTag"": ""\""ed53aadd29768246396e6a6e6f2b3e88\"""", ""size"": 443488, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-06T23:24:54.000Z"", ""contentLength"": 443488, ""httpStatusCode"": 200}"
signed-code-of-conduct,2f165df5-1e50-49f1-bb54-167af6697417/signed-receipt.html,,2026-07-06 23:24:53.551944+00,"{""eTag"": ""\""a80b99d7f2e9d4979643bc76bc8ace14\"""", ""size"": 27901, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-06T23:24:54.000Z"", ""contentLength"": 27901, ""httpStatusCode"": 200}"
signed-code-of-conduct,34e2fcad-238b-4989-8ef2-b33f61e713ea/signed-code-of-conduct.pdf,,2026-07-22 09:00:31.907946+00,"{""eTag"": ""\""5d615123f2a2b05618adcd779eb9ffc3\"""", ""size"": 451743, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-22T09:00:32.000Z"", ""contentLength"": 451743, ""httpStatusCode"": 200}"
signed-code-of-conduct,34e2fcad-238b-4989-8ef2-b33f61e713ea/signed-receipt.html,,2026-07-22 09:00:32.115911+00,"{""eTag"": ""\""a856d2ee4716e6d5a05441baa4197e67\"""", ""size"": 48012, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-22T09:00:33.000Z"", ""contentLength"": 48012, ""httpStatusCode"": 200}"
signed-code-of-conduct,35cb003d-62ba-42aa-bf09-d5fcd88c805e/signed-code-of-conduct.pdf,,2026-07-31 06:56:19.041954+00,"{""eTag"": ""\""210aa54cbf65432356a3c90073470792\"""", ""size"": 440593, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-31T06:56:20.000Z"", ""contentLength"": 440593, ""httpStatusCode"": 200}"
signed-code-of-conduct,35cb003d-62ba-42aa-bf09-d5fcd88c805e/signed-receipt.html,,2026-07-31 06:56:19.233873+00,"{""eTag"": ""\""92cea147a5df3b137b0e9b164ae94f29\"""", ""size"": 17089, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-31T06:56:20.000Z"", ""contentLength"": 17089, ""httpStatusCode"": 200}"
signed-code-of-conduct,36142976-ef27-4689-9ef1-f3ba9b4ad6f4/signed-code-of-conduct.pdf,,2026-07-22 14:21:10.25754+00,"{""eTag"": ""\""5e047d6907e0cbcf12d21297d94209d6\"""", ""size"": 439788, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-22T14:21:11.000Z"", ""contentLength"": 439788, ""httpStatusCode"": 200}"
