bucket_id,object_name,size_bytes,signed_url
code-of-conduct,templates/1779730483341-Code_of_Conduct__Diamond_2.0_Membership_.pdf,451569,https://azlzgovrljdmqzghqcta.supabase.co/storage/v1/object/sign/code-of-conduct/templates/1779730483341-Code_of_Conduct__Diamond_2.0_Membership_.pdf?token=...
signed-code-of-conduct,0066168e-1fd0-4381-b8a5-51d88e7da196/signed-code-of-conduct.pdf,439076,https://azlzgovrljdmqzghqcta.supabase.co/storage/v1/object/sign/signed-code-of-conduct/0066168e-1fd0-4381-b8a5-51d88e7da196/signed-code-of-conduct.pdf?token=...
signed-code-of-conduct,1015f530-05fd-4da0-be97-ef123df0b34d/signed-receipt.html,20890,https://azlzgovrljdmqzghqcta.supabase.co/storage/v1/object/sign/signed-code-of-conduct/1015f530-05fd-4da0-be97-ef123df0b34d/signed-receipt.html?token=...
signed-code-of-conduct,515da1ee-4ae2-4749-8ef8-d5b40b75f56d/signed-code-of-conduct.pdf,447099,https://azlzgovrljdmqzghqcta.supabase.co/storage/v1/object/sign/signed-code-of-conduct/515da1ee-4ae2-4749-8ef8-d5b40b75f56d/signed-code-of-conduct.pdf?token=...
